Processo SEI,ID,Especificacao,Tipo,Atribuicao,Etiqueta,Anotacao,Link_Permanente,Qtd_Ocorrencias
23117.027369/2024-33,5972542,(Não Visualizado) COLETA CONUT BLOCO 2U,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=5972542,1
23117.028061/2026-77,8072369,(Não Visualizado) Solicitação de baixa de bens,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8072369,1
23117.028222/2026-22,8074386,(Não Visualizado) Coleta de bens em desuso / Solicitação de baixa de bens,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8074386,1
23117.028768/2023-31,4973429,(Não Visualizado) Recohlimento de bens de desuso - SM - DIRSU - 5J,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=4973429,1
23117.029326/2023-10,4980992,(Não Visualizado) COLETA ICBIM 4U,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=4980992,1
23117.029628/2026-22,8093773,Baixa e coleta de equipamentos em desuso,Material: Recolhimento de Material ao Depósito,,Coleta,AGENDA,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8093773,1
23117.029771/2026-14,8096151,,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8096151,1
23117.029938/2024-85,6001399,(Não Visualizado) Recolhimento e baixa de bens,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6001399,1
23117.029991/2026-48,8098547,(Não Visualizado) Devolução de material.,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8098547,1
23117.030283/2026-50,8102481,Ofício - Recolhimento materiais,Material: Recolhimento de Material ao Depósito,,Coleta,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8102481,1
23117.030298/2025-37,7035873,,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=7035873,1
23117.030677/2026-16,8107710,Coleta por Emaill,Material: Recolhimento de Material ao Depósito,,Coleta,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8107710,1
23117.030918/2024-57,6013158,(Não Visualizado) Recolhimento de Material ao depósito,Material: Recolhimento de Material ao Depósito,,COLETA DE BENS,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=6013158,1
23117.031623/2026-60,8119365,,Material: Recolhimento de Material ao Depósito,,Coleta,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8119365,1
23117.031851/2026-30,8122144,,Material: Recolhimento de Material ao Depósito,,,,https://sei.ufu.br/sei/controlador.php?acao=procedimento_trabalhar&id_procedimento=8122144,1
